depth_m,age_mean_ma,age_hdi95_low_ma,age_hdi95_high_ma
30.49732441471572,250.95895938032467,250.89849036528688,251.0179066239375
30.59264214046823,250.96255410497437,250.90240367555342,251.02130739338415
30.687959866220737,250.9661488296237,250.9063200120919,251.0245980071228
30.783277591973246,250.9697435542738,250.91020120459217,251.028010636138
30.878595317725754,250.97333827892245,250.9139853949714,251.03106970008392
30.973913043478262,250.97693300357275,250.91786483777665,251.0342489344172
31.06923076923077,250.98052772822254,250.92187286173225,251.03743095691124
31.16454849498328,250.98412245287133,250.9258980713178,251.04071552959843
31.259866220735788,250.98771717752132,250.92981265801544,251.04418370583372
31.355183946488296,250.99131190217116,250.9336788174201,251.04731481109073
31.450501672240804,250.99490662682027,250.93737743889707,251.05060946638082
31.545819397993313,250.9985013514695,250.94127527269367,251.05384297352794
31.64113712374582,251.00209607611976,250.94533052962538,251.05699430490452
